C4BE84	Texas Instruments.
5CDD70	Hangzhou H3C Technologies Co., Limited
0016C3	BA Systems Inc
000E66	Hitachi Industry & Control Solutions, Ltd.
002518	Power PLUS Communications AG
B49EE6	SHENZHEN TECHNOLOGY CO LTD
0026C6	Intel Corporate
00C085	ELECTRONICS FOR IMAGING, INC.
00166D	Yulong Computer Telecommunication Scientific(shenzhen)Co.,Lt
0021FD	DSTA S.L.
00114B	Francotyp-Postalia GmbH
0013AF	NUMA Technology,Inc.
0021DC	TECNOALARM S.r.l.
00D0ED	XIOX
001285	Gizmondo Europe Ltd
00056F	Innomedia Technologies Pvt. Ltd.
5CE0C5	Intel Corporate
A0231B	TeleComp R&D Corp.
00187B	4NSYS Co. Ltd.
00C068	HME Clear-Com LTD.
0090DB	NEXT LEVEL COMMUNICATIONS
0090DD	MIHARU COMMUNICATIONS Inc
00136A	Hach Lange Sarl
001061	HOSTLINK CORP.
D0D412	ADB Broadband Italia
9CFBF1	MESOMATIC GmbH & Co.KG
000C49	Dangaard Telecom RTC Division A/S
001E77	Air2App
002142	Advanced Control Systems doo
000D57	Fujitsu I-Network Systems Limited.
2CE6CC	Ruckus Wireless
20AA25	IP-NET LLC
00C0C7	SPARKTRUM MICROSYSTEMS, INC.
000ACE	RADIANTECH, INC.
A81FAF	KRYPTON POLSKA
6CF5E8	Mooredoll Inc.
001A73	Gemtek Technology Co., Ltd.
DC309C	Heyrex Limited
0014F0	Business Security OL AB
001A10	LUCENT TRANS ELECTRONICS CO.,LTD
407496	aFUN TECHNOLOGY INC.
000DEB	CompXs Limited
0014D6	Jeongmin Electronics Co.,Ltd.
001893	SHENZHEN PHOTON BROADBAND TECHNOLOGY CO.,LTD
001942	ON SOFTWARE INTERNATIONAL LIMITED
001C7A	Perfectone Netware Company Ltd
CC4AE1	Fourtec -Fourier Technologies
001E4D	Welkin Sciences, LLC
000223	ClickTV
0024EC	United Information Technology Co.,Ltd.
D05A0F	I-BT DIGITAL CO.,LTD
0004B0	ELESIGN Co., Ltd.
00E6D3	NIXDORF COMPUTER CORP.
001723	Summit Data Communications
0004BF	VersaLogic Corp.
001D2B	Wuhan Pont Technology CO. , LTD
000243	Raysis Co., Ltd.
BCE09D	Eoslink
000463	Bosch Security Systems
00205E	CASTLE ROCK, INC.
EC4C4D	ZAO NPK RoTeK
00E0D5	Emulex Corporation
00252A	Chengdu GeeYa Technology Co.,LTD
0080E1	STMICROELECTRONICS
789CE7	Shenzhen Aikede Technology Co., Ltd
001858	TagMaster AB
001D84	Gateway, Inc.
00E16D	Cisco
000133	KYOWA Electronic Instruments C
00C088	EKF ELEKTRONIK GMBH
00063A	Dura Micro, Inc.
DC9FA4	Nokia Corporation
08D833	Shenzhen RF Technology Co,.Ltd
2C010B	NASCENT Technology, LLC - RemKon
98E0D9	Apple
0009C2	Onity, Inc.
00202A	N.V. DZINE
0023F6	Softwell Technology Co., Ltd.
001FF9	Advanced Knowledge Associates
002265	Nokia Danmark A/S
00C058	DATAEXPERT CORP.
0C383E	Fanvil Technology Co., Ltd.
00094B	FillFactory NV
001CC9	Kaise Electronic Technology Co., Ltd.
00145D	WJ Communications, Inc.
001BA6	intotech inc.
001158	Nortel Networks
74EA3A	TP-LINK Technologies Co.,Ltd.
0017EF	IBM Corp
00BB8E	HME Co., Ltd.
001D05	Eaton Corporation
0090D7	NetBoost Corp.
0001A1	Mag-Tek, Inc.
08005B	VTA TECHNOLOGIES INC.
843F4E	Tri-Tech Manufacturing, Inc.
D05C7A	Sartura d.o.o.
0004B9	S.I. Soubou, Inc.
0013E8	Intel Corporate
4C8BEF	Huawei Technologies Co., Ltd
CCBD35	Steinel GmbH
C83DFC	Pioneer DJ Coroporation
ECFE7E	BlueRadios, Inc.
000790	Tri-M Technologies (s) Limited
0090DC	TECO INFORMATION SYSTEMS
288023	Hewlett Packard
D0D6CC	Wintop
2852E0	Layon international Electronic & Telecom Co.,Ltd
001F00	Nokia Danmark A/S
F40304	Google
001A5A	Korea Electric Power Data Network  (KDN) Co., Ltd
407A80	Nokia Corporation
08EBED	World Elite Technology Co.,LTD
00120D	Advanced Telecommunication Technologies, Inc.
000594	IXXAT Automation GmbH
0007B9	Ginganet Corporation
00231F	Guangda Electronic & Telecommunication Technology Development Co., Ltd.
003034	SET ENGINEERING
38192F	Nokia Corporation
00C033	TELEBIT COMMUNICATIONS APS
00D06C	SHAREWAVE, INC.
30D17E	HUAWEI TECHNOLOGIES CO.,LTD
004021	RASTER GRAPHICS
3451C9	Apple
0009C1	PROCES-DATA A/S
001EC7	2Wire, Inc.
041B94	Host Mobility AB
000207	VisionGlobal Network Corp.
0006E8	Optical Network Testing, Inc.
0010AC	IMCI TECHNOLOGIES
E458E7	Samsung Electronics Co.,Ltd
3CF52C	DSPECIALISTS GmbH
001E3A	Nokia Danmark A/S
001872	Expertise Engineering
3859F9	Hon Hai Precision Ind. Co.,Ltd.
00D0C2	BALTHAZAR TECHNOLOGY AB
48B9C2	Teletics Inc.
0017CB	Juniper Networks
0020B0	GATEWAY DEVICES, INC.
70DA9C	TECSEN
000683	Bravara Communications, Inc.
000F78	Datacap Systems Inc
0007FF	Gluon Networks
EC43E6	AWCER Ltd.
008074	FISHER CONTROLS
0050D6	ATLAS COPCO TOOLS AB
08000F	MITEL CORPORATION
001CB7	USC DigiArk Corporation
0012E4	ZIEHL industrie-electronik GmbH + Co KG
002055	ALTECH CO., LTD.
00D02C	CAMPBELL SCIENTIFIC, INC.
001FCF	MSI Technology GmbH
F01C13	LG Electronics
647C34	Ubee Interactive Corp.
5CF8A1	Murata Manufactuaring Co.,Ltd.
001430	ViPowER, Inc
000622	Chung Fu Chen Yeh Enterprise Corp.
B461FF	Lumigon A/S
00016F	Inkel Corp.
00212A	Audiovox Corporation
001269	Value Electronics
00234B	Inyuan Technology Inc.
000A6E	Harmonic, Inc
000BBB	Etin Systems Co., Ltd
18D5B6	SMG Holdings LLC
70305E	Nanjing Zhongke Menglian Information Technology Co.,LTD
1CFCBB	Realfiction ApS
28E31F	Xiaomi inc.
0011FA	Rane Corporation
841888	Juniper Networks
00037E	PORTech Communications, Inc.
3CC1F6	Melange Systems Pvt. Ltd.
001FC2	Jow Tong Technology Co Ltd
001303	GateConnect
00C0D8	UNIVERSAL DATA SYSTEMS
001FD5	MICRORISC s.r.o.
94CCB9	ARRIS Group, Inc.
002041	DATA NET
0CEEE6	Hon Hai Precision Ind. Co.,Ltd.
0418D6	Ubiquiti Networks
0015E7	Quantec Tontechnik
8CBF9D	Shanghai Xinyou Information Technology Ltd. Co.
000070	HCL LIMITED
08000A	NESTAR SYSTEMS INCORPORATED
001C6F	Emfit Ltd
DC825B	JANUS, spol. s r.o.
0017ED	WooJooIT Ltd.
00A006	IMAGE DATA PROCESSING SYSTEM GROUP
0007A5	Y.D.K Co. Ltd.
9C4EBF	BoxCast
D07DE5	Forward Pay Systems, Inc.
509871	Inventum Technologies Private Limited
0000CF	HAYES MICROCOMPUTER PRODUCTS
649FF7	Kone OYj
CCF954	Avaya, Inc
08FAE0	Fohhn Audio AG
0007D6	Commil Ltd.
000F17	Insta Elektro GmbH
C44EAC	Shenzhen Shiningworth Technology Co., Ltd.
00069C	Transmode Systems AB
002073	FUSION SYSTEMS CORPORATION
547FEE	CISCO SYSTEMS, INC.
00A0B1	FIRST VIRTUAL CORPORATION
8C8E76	taskit GmbH
E0C86A	SHENZHEN TW-SCIE Co., Ltd
28D244	LCFC(HeFei) Electronics Technology Co., Ltd.
0030E0	OXFORD SEMICONDUCTOR LTD.
00D092	GLENAYRE WESTERN MULTIPLEX
0003DD	Comark Corp.
0003E9	Akara Canada, Inc.
004013	NTT DATA COMM. SYSTEMS CORP.
002319	Sielox LLC
0014FA	AsGa S.A.
00196B	Danpex Corporation
000505	Systems Integration Solutions, Inc.
001562	CISCO SYSTEMS, INC.
000C99	HITEL LINK Co.,Ltd
0017CE	Screen Service Spa
8496D8	Pace plc
E0CB4E	ASUSTek COMPUTER INC.
8065E9	BenQ Corporation
08002C	BRITTON LEE INC.
000EEA	Shadong Luneng Jicheng Electronics,Co.,Ltd
C44619	Hon Hai Precision Ind. Co.,Ltd.
001617	MSI
C81F66	Dell Inc
001BFC	ASUSTek COMPUTER INC.
CCFE3C	Samsung Electronics
00188A	Infinova LLC
5809E5	Kivic Inc.
001995	Jurong Hi-Tech (Suzhou)Co.ltd
080018	PIRELLI FOCOM NETWORKS
2C5A05	Nokia Corporation
30F33A	+plugg srl
00123B	KeRo Systems ApS
000C09	Hitachi IE Systems Co., Ltd
CC5076	Ocom Communications, Inc.
00042E	Netous Technologies, Ltd.
D09D0A	LINKCOM
B820E7	Guangzhou Horizontal Information & Network Integration Co. Ltd
B4218A	Dog Hunter LLC
84C9B2	D-Link International
02AA3C	OLIVETTI TELECOMM SPA (OLTECO)
00140C	GKB CCTV CO., LTD.
00230C	CLOVER ELECTRONICS CO.,LTD.
1879A2	GMJ ELECTRIC LIMITED
001ABC	U4EA Technologies Ltd
00A01E	EST CORPORATION
88BFD5	Simple Audio Ltd
00252F	Energy, Inc.
8CC8CD	Samsung Electronics Co., LTD
0CC47E	EUCAST Co., Ltd.
003073	International Microsystems, In
00802D	XYLOGICS INC
0015FF	Novatel Wireless, Inc.
0005F0	SATEC
001005	UEC COMMERCIAL
1C959F	Veethree Electronics And Marine LLC
001310	Cisco-Linksys, LLC
001D00	Brivo Systems, LLC
002673	RICOH COMPANY,LTD.
EC8892	Motorola Mobility LLC
F08A28	JIANGSU HENGSION ELECTRONIC S and T CO.,LTD
803F5D	Winstars Technology Ltd
34F62D	SHARP Corporation
04C06F	Shenzhen Huawei Communication Technologies Co., Ltd
00000E	FUJITSU LIMITED
00C02C	CENTRUM COMMUNICATIONS, INC.
0008B2	SHENZHEN COMPASS TECHNOLOGY DEVELOPMENT CO.,LTD
909DE0	Newland Design + Assoc. Inc.
00D042	MAHLO GMBH & CO. UG
0021E2	Creative Electronic GmbH
405FBE	RIM
F47ACC	SolidFire, Inc.
40984C	Casacom Solutions AG
E84E06	EDUP INTERNATIONAL (HK) CO., LTD
6CC217	Hewlett Packard
000F66	Cisco-Linksys
687848	Westunitis Co., Ltd.
BCD165	Cisco SPVTG
00029C	3COM
001D7B	Ice Energy, Inc.
0011B5	Shenzhen Powercom Co.,Ltd
142D27	Hon Hai Precision Ind. Co.,Ltd.
A45630	CISCO SYSTEMS, INC.
00022B	SAXA, Inc.
90CC24	Synaptics, Inc
0014A9	CISCO SYSTEMS, INC.
001E34	CryptoMetrics
001FC4	ARRIS Group, Inc.
0002E9	CS Systemes De Securite - C3S
0011F3	NeoMedia Europe AG
001B8E	Hulu Sweden AB
0024C0	NTI COMODO INC
002207	Inteno Broadband Technology AB
D0F73B	Helmut Mauell GmbH
844BF5	Hon Hai Precision Ind. Co.,Ltd.
008004	ANTLOW COMMUNICATIONS, LTD.
000CB5	Premier Technolgies, Inc
709F2D	zte corporation
000F56	Continuum Photonics Inc
005095	PERACOM NETWORKS
000C04	Tecnova
001B20	TPine Technology
0050D7	TELSTRAT
50F003	Open Stack, Inc.
00036F	Telsey SPA
E48D8C	Routerboard.com
0007B0	Office Details, Inc.
C0EE40	Laird Technologies
00A052	STANILITE ELECTRONICS PTY. LTD
000E0B	Netac Technology Co., Ltd.
00140B	FIRST INTERNATIONAL COMPUTER, INC.
008051	FIBERMUX
105F49	Cisco SPVTG
020701	RACAL-DATACOM
7CCFCF	Shanghai SEARI Intelligent System Co., Ltd
6047D4	FORICS Electronic Technology Co., Ltd.
949426	Apple
2C4138	Hewlett-Packard Company
000592	Pultek Corp.
00087E	Bon Electro-Telecom Inc.
18002D	Sony Mobile Communications AB
000C4E	Winbest Technology CO,LT
7C4C58	Scale Computing, Inc.
001146	Telecard-Pribor Ltd
001110	Maxanna Technology Co., Ltd.
00252D	Kiryung Electronics
001D94	Climax Technology Co., Ltd
000E61	MICROTROL LIMITED
F099BF	Apple
98F170	Murata Manufacturing Co., Ltd.
0017D7	ION Geophysical Corporation Inc.
001F7C	Witelcom AS
002330	DIZIPIA, INC.
0026AD	Arada Systems, Inc.
001BA5	MyungMin Systems, Inc.
000090	MICROCOM
0026F6	Military Communication Institute
001F28	HPN Supply Chain
000F7E	Ablerex Electronics Co., LTD
000F37	Xambala Incorporated
001D10	LightHaus Logic, Inc.
00108E	HUGH SYMONS CONCEPT Technologies Ltd.
000E21	MTU Friedrichshafen GmbH
001D2A	SHENZHEN BUL-TECH CO.,LTD.
BC8556	Hon Hai Precision Ind. Co.,Ltd.
E8F226	MILLSON CUSTOM SOLUTIONS INC.
000975	fSONA Communications Corporation
00179E	Sirit Inc
2C3A28	Fagor Electr贸nica
B0D59D	Shenzhen Zowee Technology Co., Ltd
20C6EB	Panasonic Corporation AVC Networks Company
0017B5	Peerless Systems Corporation
001BDB	Valeo VECS
849000	Arnold & Richter Cine Technik
00A091	APPLICOM INTERNATIONAL
1CF061	SCAPS GmbH
0C0535	Juniper Systems
187ED5	shenzhen kaism technology Co. Ltd
00C0A8	GVC CORPORATION
C417FE	Hon Hai Precision Ind. Co.,Ltd.
001BD6	Kelvin Hughes Ltd
0016F3	CAST Information Co., Ltd
B808CF	Intel Corporate
002667	CARECOM CO.,LTD.
B8E625	2Wire
B4B88D	Thuh Company
0008BC	Ilevo AB
289AFA	TCT Mobile Limited
00072C	Fabricom
000B4D	Emuzed
1C8F8A	Phase Motion Control SpA
002229	Compumedics Ltd
001EEE	ETL Systems Ltd
64D241	Keith & Koep GmbH
001213	Metrohm AG
000086	MEGAHERTZ CORPORATION
0008EB	ROMWin Co.,Ltd.
00201B	NORTHERN TELECOM/NETWORK
083AB8	Shinoda Plasma Co., Ltd.
F05D89	Dycon Limited
74CD0C	Smith Myers Communications Ltd.
00D050	ISKRATEL
9C7BD2	NEOLAB Convergence
000002	XEROX CORPORATION
24DBAD	ShopperTrak RCT Corporation
841E26	KERNEL-I Co.,LTD
00E03A	CABLETRON SYSTEMS, INC.
0CE5D3	DH electronics GmbH
000A89	Creval Systems, Inc.
BC35E5	Hydro Systems Company
0013ED	PSIA
D075BE	Reno A&E
84DD20	Texas Instruments
006027	Superior Modular Products
000604	@Track Communications, Inc.
001E1A	Best Source Taiwan Inc.
340A22	TOP-ACCESS ELECTRONICS CO LTD
00738D	Tinno Mobile Technology Corp
80C63F	Remec Broadband Wireless , LLC
0012AF	ELPRO Technologies
F0C1F1	Apple, Inc.
00200F	TANBAC CO., LTD.
180CAC	CANON INC.
3089D3	HONGKONG UCLOUDLINK NETWORK TECHNOLOGY LIMITED
001BCA	Beijing Run Technology LTD. Company
6CAB4D	Digital Payment Technologies
5CFF35	Wistron Corporation
10B26B	base Co.,Ltd.
0080F0	Panasonic Communications Co., Ltd.
000D6C	M-Audio
000795	Elitegroup Computer System Co. (ECS)
0009D7	DC Security Products
003082	TAIHAN ELECTRIC WIRE CO., LTD.
00145C	Intronics B.V.
E438F2	Advantage Controls
842141	Shenzhen Ginwave Technologies Ltd.
00187F	ZODIANET
00085F	Picanol N.V.
CC9093	Hansong Tehnologies
00009B	INFORMATION INTERNATIONAL, INC
00A050	CYPRESS SEMICONDUCTOR
0026A2	Instrumentation Technology Systems
9C65B0	Samsung Electronics Co.,Ltd
00501F	MRG SYSTEMS, LTD.
60D9C7	Apple
001421	Total Wireless Technologies Pte. Ltd.
2C0623	Win Leader Inc.
D4224E	Alcatel Lucent
000088	Brocade Communications Systems, Inc.
4C8B30	Actiontec Electronics, Inc
F4F15A	Apple
00038E	Atoga Systems, Inc.
001B8A	2M Electronic A/S
948D50	Beamex Oy Ab
7840E4	Samsung Electronics Co.,Ltd
0050A8	OpenCon Systems, Inc.
0021DD	Northstar Systems Corp
0021D0	Global Display Solutions Spa
008070	COMPUTADORAS MICRON
00304E	BUSTEC PRODUCTION LTD.
B43052	Huawei Technologies Co., Ltd
000A04	3Com Ltd
50D6D7	Takahata Precision
0050CC	XYRATEX
24C86E	Chaney Instrument Co.
18863A	DIGITAL ART SYSTEM
DC3350	TechSAT GmbH
704E01	KWANGWON TECH CO., LTD.
0019D3	TRAK Microwave
24A937	PURE Storage
0016C8	CISCO SYSTEMS, INC.
000B15	Platypus Technology
B8F934	Sony Ericsson Mobile Communications AB
000AFF	Kilchherr Elektronik AG
7C3CB6	Shenzhen Homecare Technology Co.,Ltd.
001D88	Clearwire
0025AE	Microsoft Corporation
00E0FA	TRL TECHNOLOGY, LTD.
78303B	Stephen Technologies Co.,Limited
000069	CONCORD COMMUNICATIONS INC
001FD4	4IPNET, INC.
002429	MK MASTER INC.
000388	Fastfame Technology Co., Ltd.
00305F	Hasselblad
64BABD	SDJ Technologies, Inc.
0017C5	SonicWALL
8CC7AA	Radinet Communications Inc.
00111C	Pleora Technologies Inc.
0019DA	Welltrans O&E Technology Co. , Ltd.
A89DD2	Shanghai DareGlobal Technologies Co., Ltd
B07D62	Dipl.-Ing. H. Horstmann GmbH
0018E8	Hacetron Corporation
008EF2	NETGEAR INC.,
00A0F7	V.I COMPUTER CORP.
000209	Shenzhen SED Information Technology Co., Ltd.
00E095	ADVANCED-VISION TECHNOLGIES CORP.
0015C7	CISCO SYSTEMS, INC.
0021C4	Consilium AB
0015CF	ARRIS International
ACEA6A	GENIX INFOCOMM CO., LTD.
0011B0	Fortelink Inc.
2012D5	Scientech Materials Corporation
00607C	WaveAccess, Ltd.
78D129	Vicos
00048F	TD Systems Corporation
00F46F	Samsung Elec Co.,Ltd
001C02	Pano Logic
001B1B	Siemens AG,
000879	CEM Corporation
F40E11	IEEE REGISTRATION AUTHORITY  - Please see MAM public listing for more information.
00C014	TELEMATICS CALABASAS INTL,INC
00C0B4	MYSON TECHNOLOGY, INC.
000E59	SAGEM SA
D8DCE9	Kunshan Erlab ductless filtration system Co.,Ltd
00240C	DELEC GmbH
000721	Formac Elektronik GmbH
000F01	DIGITALKS INC
0090BA	VALID NETWORKS, INC.
FC15B4	Hewlett Packard
783CE3	Kai-EE
0004E4	Daeryung Ind., Inc.
A8154D	TP-LINK TECHNOLOGIES CO.,LTD.
E0C6B3	MilDef AB
000F3A	HISHARP
400E67	Tremol Ltd.
D86BF7	Nintendo Co., Ltd.
000571	Seiwa Electronics Co.
001A66	ARRIS Group, Inc.
0025E7	Sony Ericsson Mobile Communications
0005CF	Thunder River Technologies, Inc.
00E031	HAGIWARA ELECTRIC CO., LTD.
74D0DC	ERICSSON AB
50934F	Gradual Tecnologia Ltda.
DCB058	Burkert Werke GmbH
000E68	E-TOP Network Technology Inc.
008000	MULTITECH SYSTEMS, INC.
A4E7E4	Connex GmbH
4C2258	cozybit, Inc.
F81CE5	Telefonbau Behnke GmbH
00C063	MORNING STAR TECHNOLOGIES, INC
002547	Nokia Danmark A/S
00125B	KAIMEI ELECTRONI
000620	Serial System Ltd.
E07F53	TECHBOARD SRL
000C64	X2 MSA Group
00A02B	TRANSITIONS RESEARCH CORP.
E48184	Alcatel-Lucent
A47C14	ChargeStorm AB
000FEE	XTec, Incorporated
8CDF9D	NEC Corporation
78E400	Hon Hai Precision Ind. Co.,Ltd.
0006BA	Westwave Communications
0017DB	CANKO TECHNOLOGIES INC.
000B4B	VISIOWAVE SA
001B5E	BPL Limited
A8827F	CIBN Oriental Network(Beijing) CO.,Ltd
000B3B	devolo AG
0023B6	SECURITE COMMUNICATIONS / HONEYWELL
00002D	CHROMATICS INC
00125E	CAEN
A0EDCD	Apple
000A62	Crinis Networks, Inc.
00D017	SYNTECH INFORMATION CO., LTD.
00D0B4	KATSUJIMA CO., LTD.
80AAA4	USAG
5C260A	Dell Inc.
E432CB	Samsung Electronics Co.,Ltd
FC1607	Taian Technology(Wuxi) Co.,Ltd.
00156A	DG2L Technologies Pvt. Ltd.
00120C	CE-Infosys Pte Ltd
DC9B1E	Intercom, Inc.
F02408	Talaris (Sweden) AB
0021AD	Nordic ID Oy
2C2997	Microsoft Corporation
0C8411	A.O. Smith Water Products
002463	Phybridge Inc
0026AB	SEIKO EPSON CORPORATION
002123	Aerosat Avionics
00206E	XACT, INC.
00208C	GALAXY NETWORKS, INC.
000A95	Apple
481249	Luxcom Technologies Inc.
00C08B	RISQ MODULAR SYSTEMS, INC.
EC172F	TP-LINK TECHNOLOGIES CO., LTD.
60F673	TERUMO CORPORATION
CC07E4	Lenovo Mobile Communication Technology Ltd.
00A0A3	RELIABLE POWER METERS
0003C1	Packet Dynamics Ltd
14893E	VIXTEL TECHNOLOGIES LIMTED
4C5499	Shenzhen Huawei Communication Technologies Co., Ltd
0CD9C1	Visteon Corporation
00093D	Newisys,Inc.
0090AA	INDIGO ACTIVE VISION SYSTEMS LIMITED
00A057	LANCOM Systems GmbH
002610	Apacewave Technologies
000F41	Zipher Ltd
1CB72C	ASUSTek COMPUTER INC.
00005B	ELTEC ELEKTRONIK AG
0040AF	DIGITAL PRODUCTS, INC.
F4F1E1	Motorola Mobility LLC
F872EA	Cisco
C47130	Fon Technology S.L.
4018D7	Smartronix, Inc.
F0182B	LG Chem
9893CC	LG Electronics Inc.
803FD6	bytes at work AG
000891	Lyan Inc.
000A72	STEC, INC.
00002C	AUTOTOTE LIMITED
00180C	Optelian Access Networks
0000CB	COMPU-SHACK ELECTRONIC GMBH
001A0F	Sistemas Avanzados de Control, S.A.
000178	MARGI Systems, Inc.
8CA048	Beijing NeTopChip Technology Co.,LTD
00102D	HITACHI SOFTWARE ENGINEERING
001296	Addlogix
00A0D8	SPECTRA - TEK
00004D	DCI CORPORATION
00068C	3Com Corporation
000865	JASCOM CO., LTD
001D9A	GODEX INTERNATIONAL CO., LTD
0003CF	Muxcom, Inc.
103047	Samsung Electronics Co.,Ltd
00A0BA	PATTON ELECTRONICS CO.
141BBD	Volex Inc.
00129A	IRT Electronics Pty Ltd
001913	Chuang-Yi Network Equipment Co.Ltd.
4C8B55	Grupo Digicon
000998	Capinfo Company Limited
001919	ASTEL Inc.
0025DE	Probits Co., LTD.
005023	PG DESIGN ELECTRONICS, INC.
0024F3	Nintendo Co., Ltd.
DCAE04	CELOXICA Ltd
882593	TP-LINK TECHNOLOGIES CO.,LTD
0026C7	Intel Corporate
001688	ServerEngines LLC
002603	Shenzhen Wistar Technology Co., Ltd
BCA4E1	Nabto
745327	COMMSEN CO., LIMITED
000397	Watchfront Limited
C412F5	D-Link International
000E9E	Topfield Co., Ltd
000656	Tactel AB
A8C222	TM-Research Inc.
00038A	America Online, Inc.
00A0DE	YAMAHA CORPORATION
000947	Aztek, Inc.
00183F	2Wire, Inc
E48501	Geberit International AG
0014C0	Symstream Technology Group Ltd
001EA2	Symx Systems, Inc.
0005A7	Hyperchip, Inc.
78DD08	Hon Hai Precision Ind. Co.,Ltd.
002700	Shenzhen Siglent Technology Co., Ltd.
F45842	Boxx TV Ltd
F0620D	Shenzhen Egreat Tech Corp.,Ltd
0CFC83	Airoha Technology Corp.,
0011D1	Soft Imaging System GmbH
00139A	K-ubique ID Corp.
009014	ROTORK INSTRUMENTS, LTD.
000211	Nature Worldwide Technology Corp.
000F64	D&R Electronica Weesp BV
70B08C	Shenou Communication Equipment Co.,Ltd
5CE8EB	Samsung Electronics
0010B9	MAXTOR CORP.
0005E9	Unicess Network, Inc.
0020EC	TECHWARE SYSTEMS CORP.
00258C	ESUS ELEKTRONIK SAN. VE DIS. TIC. LTD. STI.
88354C	Transics
001926	BitsGen Co., Ltd.
0040FD	LXE
64DC01	Static Systems Group PLC
001113	Fraunhofer FOKUS
987BF3	Texas Instruments
60A8FE	Nokia Solutions and Networks
0013DC	IBTEK INC.
D8FB11	AXACORE
000246	All-Win Tech Co., Ltd.
7CFE4E	Shenzhen Safe vision Technology Co.,LTD
087D21	Altasec technology corporation
5C6F4F	S.A. SISTEL
00222C	Ceton Corp
00D02B	JETCELL, INC.
008027	ADAPTIVE SYSTEMS, INC.
006096	T.S. MICROTECH INC.
18422F	Alcatel Lucent
0022E4	APASS TECHNOLOGY CO., LTD.
00C0AE	TOWERCOM CO. INC. DBA PC HOUSE
081DFB	Shanghai Mexon Communication Technology Co.,Ltd
00D0F4	CARINTHIAN TECH INSTITUTE
000A01	SOHOware, Inc.
881FA1	Apple
00011F	RC Networks, Inc.
000878	Benchmark Storage Innovations
00162F	Geutebr眉ck GmbH
E0DB88	Open Standard Digital-IF Interface for SATCOM Systems
F44227	S & S Research Inc.
001396	Acbel Polytech Inc.
0022A5	Texas Instruments
000554	Rangestar Wireless
000E41	NIHON MECHATRONICS CO.,LTD.
605464	Eyedro Green Solutions Inc.
000420	Slim Devices, Inc.
F8C397	NZXT Corp. Ltd.
000F83	Brainium Technologies Inc.
001950	Harman Multimedia
008008	DYNATECH COMPUTER SYSTEMS
0007D9	Splicecom
18D949	Qvis Labs, LLC
002524	Lightcomm Technology Co., Ltd
001168	HomeLogic LLC
000FA6	S2 Security Corporation
00408F	WM-DATA MINFO AB
001FB5	I/O Interconnect Inc.
000828	Koei Engineering Ltd.
580A20	Cisco
000F95	ELECOM Co.,LTD Laneed Division
00400D	LANNET DATA COMMUNICATIONS,LTD
34BDC8	Cisco Systems
00154C	Saunders Electronics
000FCD	Nortel Networks
00E09B	ENGAGE NETWORKS, INC.
0006D6	CISCO SYSTEMS, INC.
009013	SAMSAN CORP.
D41296	Anobit Technologies Ltd.
2CB43A	Apple
0000C9	Emulex Corporation
14EE9D	AirNav Systems LLC
0090AD	ASPECT ELECTRONICS, INC.
001BEA	Nintendo Co., Ltd.
0CA694	Sunitec Enterprise Co.,Ltd
001A1A	Gentex Corporation/Electro-Acoustic Products
40D40E	Biodata Ltd
0040AD	SMA REGELSYSTEME GMBH
00270C	CISCO SYSTEMS, INC.
BC15A6	Taiwan Jantek Electronics,Ltd.
0013B4	Appear TV
18B209	Torrey Pines Logic, Inc
0868EA	EITO ELECTRONICS CO., LTD.
0016E7	Dynamix Promotions Limited
0013F5	Akimbi Systems
000F9E	Murrelektronik GmbH
009027	INTEL CORPORATION
F8DFA8	ZTE Corporation
00C048	BAY TECHNICAL ASSOCIATES
FCCF62	IBM Corp
00234C	KTC AB
B0E2E5	Fiberhome Telecommunication Tech.Co.,Ltd.
0022BD	CISCO SYSTEMS, INC.
F80BD0	Datang Telecom communication terminal (Tianjin) Co., Ltd.
00130A	Nortel
8821E3	Nebusens, S.L.
00A089	XPOINT TECHNOLOGIES, INC.
00001E	TELSIST INDUSTRIA ELECTRONICA
000FF5	GN&S company
A0F419	Nokia Corporation
082522	ADVANSEE
986022	EMW Co., Ltd.
001325	Cortina Systems Inc
48B8DE	HOMEWINS TECHNOLOGY CO.,LTD.
00162C	Xanboo
001752	DAGS, Inc
00D0FD	OPTIMA TELE.COM, INC.
80414E	BBK Electronics Corp., Ltd.,
000649	3M Deutschland GmbH
CC593E	TOUMAZ LTD
0001F6	Association of Musical Electronics Industry
00209B	ERSAT ELECTRONIC GMBH
50CE75	Measy Electronics Ltd
000920	EpoX COMPUTER CO.,LTD.
0010C5	PROTOCOL TECHNOLOGIES, INC.
001A9F	A-Link Ltd
001083	HEWLETT-PACKARD COMPANY
001062	NX SERVER, ILNC.
5440AD	Samsung Electronics Co.,Ltd
0004AB	Comverse Network Systems, Inc.
000A5E	3COM Corporation
30144A	Wistron Neweb Corp.
000768	Danfoss A/S
A0ADA1	JMR Electronics, Inc
00116E	PePLink Ltd.
002010	JEOL SYSTEM TECHNOLOGY CO. LTD
74CE56	Packet Force Technology Limited Company
000515	Nuark Co., Ltd.
000C7E	Tellium Incorporated
00197A	MAZeT GmbH
000D66	CISCO SYSTEMS, INC.
0011ED	802 Global
00A068	BHP LIMITED
E4C63D	Apple, Inc.
00D0CB	DASAN CO., LTD.
003066	RFM
001AA2	CISCO SYSTEMS, INC.
001E50	BATTISTONI RESEARCH
846EB1	Park Assist LLC
